Year,City,country,Average Temp,Mov. Avg. (per 7),Norm. Mov. Avg. (per 7),Lon Mov. Avg. (10)
1756,London,United Kingdom,9.42,9.11,0.23,9.11
1757,London,United Kingdom,9.34,8.98,0.17,9.14
1758,London,United Kingdom,8.85,8.82,0.1,9.11
1759,London,United Kingdom,9.8,9.28,0.31,9.18
1760,London,United Kingdom,9.26,9.26,0.3,9.08
1761,London,United Kingdom,9.69,9.33,0.33,9.05
1762,London,United Kingdom,8.99,9.34,0.34,9.29
1763,London,United Kingdom,8.75,9.24,0.29,9.23
1764,London,United Kingdom,9.14,9.21,0.28,9.22
1765,London,United Kingdom,8.95,9.23,0.28,9.22
1766,London,United Kingdom,9.07,9.12,0.24,9.18
1767,London,United Kingdom,8.98,9.08,0.22,9.15
1768,London,United Kingdom,9.12,9,0.18,9.18
1769,London,United Kingdom,9.04,9.01,0.18,9.1
1770,London,United Kingdom,9.03,9.05,0.2,9.08
1771,London,United Kingdom,8.78,9,0.18,8.99
1772,London,United Kingdom,9.36,9.05,0.21,9.02
1773,London,United Kingdom,9.33,9.09,0.22,9.08
1774,London,United Kingdom,9.1,9.11,0.23,9.08
1775,London,United Kingdom,10.1,9.25,0.29,9.19
1776,London,United Kingdom,9.21,9.27,0.31,9.21
1777,London,United Kingdom,9.25,9.3,0.32,9.23
1778,London,United Kingdom,9.8,9.45,0.39,9.3
1779,London,United Kingdom,10.76,9.65,0.48,9.47
1780,London,United Kingdom,9.67,9.7,0.5,9.54
1781,London,United Kingdom,10.41,9.89,0.59,9.7
1782,London,United Kingdom,8.44,9.65,0.48,9.61
1783,London,United Kingdom,9.97,9.76,0.53,9.67
1784,London,United Kingdom,8.29,9.62,0.47,9.59
1785,London,United Kingdom,8.54,9.44,0.38,9.43
1786,London,United Kingdom,8.35,9.1,0.22,9.35
1787,London,United Kingdom,9.53,9.08,0.22,9.38
1788,London,United Kingdom,9.39,8.93,0.15,9.34
1789,London,United Kingdom,9.12,9.03,0.19,9.17
1790,London,United Kingdom,9.67,8.98,0.17,9.17
1791,London,United Kingdom,9.59,9.17,0.26,9.09
1792,London,United Kingdom,9.56,9.32,0.33,9.2
1793,London,United Kingdom,9.59,9.49,0.41,9.16
1794,London,United Kingdom,10,9.56,0.44,9.33
1795,London,United Kingdom,9.19,9.53,0.43,9.4
1796,London,United Kingdom,9.5,9.59,0.45,9.51
1797,London,United Kingdom,9.62,9.58,0.45,9.52
1798,London,United Kingdom,9.83,9.61,0.46,9.57
1799,London,United Kingdom,7.94,9.38,0.36,9.45
1800,London,United Kingdom,9.32,9.34,0.34,9.41
1801,London,United Kingdom,9.68,9.3,0.32,9.42
1802,London,United Kingdom,9.31,9.31,0.33,9.4
1803,London,United Kingdom,8.79,9.21,0.28,9.32
1804,London,United Kingdom,9.37,9.18,0.26,9.26
1805,London,United Kingdom,8.56,9,0.18,9.19
1806,London,United Kingdom,9.87,9.27,0.31,9.23
1807,London,United Kingdom,9.03,9.23,0.29,9.17
1808,London,United Kingdom,8.91,9.12,0.24,9.08
